City alias,State short,State full,County,City,,site,ZIPCode,County,State,Lat,Long
Aliq,PA,Pennsylvania,BEAVER,Aliquippa,,Avalon,15202,Allegheny,PA,,
Mac Arthur,PA,Pennsylvania,BEAVER,Aliquippa,,Clairton,,,,,
Macarthur,PA,Pennsylvania,BEAVER,Aliquippa,,Flag Plaza,,,,,
W Aliquippa,PA,Pennsylvania,BEAVER,Aliquippa,,Glassport High Street,,,,,
West Aliquippa,PA,Pennsylvania,BEAVER,Aliquippa,,Harrison Township,,,,,
Aliquippa,PA,Pennsylvania,BEAVER,Aliquippa,,Lawrenceville,,,,,
Ambridge,PA,Pennsylvania,BEAVER,Ambridge,,Lawrenceville 2,,,,,
Fair Oaks,PA,Pennsylvania,BEAVER,Ambridge,,Liberty,,,,,
Atlasburg,PA,Pennsylvania,WASHINGTON,Atlasburg,,Liberty 2,,,,,
Baden,PA,Pennsylvania,BEAVER,Baden,,Lincoln,,,,,
Bairdford,PA,Pennsylvania,ALLEGHENY,Bairdford,,North Braddock,,,,,
Bakerstown,PA,Pennsylvania,ALLEGHENY,Bakerstown,,Parkway East,,,,,
Beaver,PA,Pennsylvania,BEAVER,Beaver,,Parkway East (Near Road),,,,,
Vanport,PA,Pennsylvania,BEAVER,Beaver,,South Fayette,,,,,
W Bridgewater,PA,Pennsylvania,BEAVER,Beaver,,West Mifflin,,,,,
West Bridgewater,PA,Pennsylvania,BEAVER,Beaver,,,,,,,
Beaver Falls,PA,Pennsylvania,BEAVER,Beaver Falls,,,,,,,
Patterson Heights,PA,Pennsylvania,BEAVER,Beaver Falls,,,,,,,
Racine,PA,Pennsylvania,BEAVER,Beaver Falls,,,,,,,
Patterson Hts,PA,Pennsylvania,BEAVER,Beaver Falls,,,,,,,
North Belle Vernon,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
Belle Vrn Br,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
N Belle Vernon,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
Belle Vernon,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
N Belle Vrn,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
N Bell Vernon,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
Brackenridge,PA,Pennsylvania,ALLEGHENY,Brackenridge,,,,,,,
Bradfordwoods,PA,Pennsylvania,ALLEGHENY,Bradfordwoods,,,,,,,
Bridgeville,PA,Pennsylvania,ALLEGHENY,Bridgeville,,,,,,,
Buena Vista,PA,Pennsylvania,ALLEGHENY,Buena Vista,,,,,,,
Bulger,PA,Pennsylvania,WASHINGTON,Bulger,,,,,,,
Bunola,PA,Pennsylvania,ALLEGHENY,Bunola,,,,,,,
Eldersville,PA,Pennsylvania,WASHINGTON,Burgettstown,,,,,,,
Burgettstown,PA,Pennsylvania,WASHINGTON,Burgettstown,,,,,,,
Paris,PA,Pennsylvania,WASHINGTON,Burgettstown,,,,,,,
Burgettstn,PA,Pennsylvania,WASHINGTON,Burgettstown,,,,,,,
N Charleroi,PA,Pennsylvania,WASHINGTON,Charleroi,,,,,,,
North Charleroi,PA,Pennsylvania,WASHINGTON,Charleroi,,,,,,,
Charleroi,PA,Pennsylvania,WASHINGTON,Charleroi,,,,,,,
Cheswick,PA,Pennsylvania,ALLEGHENY,Cheswick,,,,,,,
Floreffe,PA,Pennsylvania,ALLEGHENY,Clairton,,,,,,,
Jefferson Hls,PA,Pennsylvania,ALLEGHENY,Clairton,,,,,,,
Clairton,PA,Pennsylvania,ALLEGHENY,Clairton,,,,,,,
Large,PA,Pennsylvania,ALLEGHENY,Clairton,,,,,,,
Jefferson Hills,PA,Pennsylvania,ALLEGHENY,Clairton,,,,,,,
Clinton,PA,Pennsylvania,BEAVER,Clinton,,,,,,,
Conway,PA,Pennsylvania,BEAVER,Conway,,,,,,,
Coulters,PA,Pennsylvania,ALLEGHENY,Coulters,,,,,,,
Creighton,PA,Pennsylvania,ALLEGHENY,Creighton,,,,,,,
Cuddy,PA,Pennsylvania,ALLEGHENY,Cuddy,,,,,,,
Curtisville,PA,Pennsylvania,ALLEGHENY,Curtisville,,,,,,,
Donora,PA,Pennsylvania,WASHINGTON,Donora,,,,,,,
Dravosburg,PA,Pennsylvania,ALLEGHENY,Dravosburg,,,,,,,
E Mckeesport,PA,Pennsylvania,ALLEGHENY,East Mc Keesport,,,,,,,
E Mc Keesport,PA,Pennsylvania,ALLEGHENY,East Mc Keesport,,,,,,,
East Mckeesport,PA,Pennsylvania,ALLEGHENY,East Mc Keesport,,,,,,,
East Mc Keesport,PA,Pennsylvania,ALLEGHENY,East Mc Keesport,,,,,,,
Elizabeth,PA,Pennsylvania,ALLEGHENY,Elizabeth,,,,,,,
Elrama,PA,Pennsylvania,WASHINGTON,Elrama,,,,,,,
Freedom,PA,Pennsylvania,BEAVER,Freedom,,,,,,,
Georgetown,PA,Pennsylvania,BEAVER,Georgetown,,,,,,,
Gibsonia,PA,Pennsylvania,ALLEGHENY,Gibsonia,,,,,,,
Glassport,PA,Pennsylvania,ALLEGHENY,Glassport,,,,,,,
Crescent,PA,Pennsylvania,ALLEGHENY,Crescent,,,,,,,
Glenwillard,PA,Pennsylvania,ALLEGHENY,Crescent,,,,,,,
Greenock,PA,Pennsylvania,ALLEGHENY,Greenock,,,,,,,
Harwick,PA,Pennsylvania,ALLEGHENY,Harwick,,,,,,,
Hookstown,PA,Pennsylvania,BEAVER,Hookstown,,,,,,,
Indianola,PA,Pennsylvania,ALLEGHENY,Indianola,,,,,,,
Industry,PA,Pennsylvania,BEAVER,Industry,,,,,,,
Joffre,PA,Pennsylvania,WASHINGTON,Joffre,,,,,,,
Langeloth,PA,Pennsylvania,WASHINGTON,Langeloth,,,,,,,
Lawrence,PA,Pennsylvania,WASHINGTON,Lawrence,,,,,,,
Leetsdale,PA,Pennsylvania,ALLEGHENY,Leetsdale,,,,,,,
Mc Donald,PA,Pennsylvania,WASHINGTON,Mc Donald,,,,,,,
Mcdonald,PA,Pennsylvania,WASHINGTON,Mc Donald,,,,,,,
Midland,PA,Pennsylvania,BEAVER,Midland,,,,,,,
Midway,PA,Pennsylvania,WASHINGTON,Midway,,,,,,,
Monaca,PA,Pennsylvania,BEAVER,Monaca,,,,,,,
Monessen,PA,Pennsylvania,WESTMORELAND,Monessen,,,,,,,
Monongahela,PA,Pennsylvania,WASHINGTON,Monongahela,,,,,,,
Morgan,PA,Pennsylvania,ALLEGHENY,Morgan,,,,,,,
Natrona Hts,PA,Pennsylvania,ALLEGHENY,Natrona Heights,,,,,,,
Natrona Heights,PA,Pennsylvania,ALLEGHENY,Natrona Heights,,,,,,,
New Brighton,PA,Pennsylvania,BEAVER,New Brighton,,,,,,,
New Eagle,PA,Pennsylvania,WASHINGTON,New Eagle,,,,,,,
Courtney,PA,Pennsylvania,WASHINGTON,New Eagle,,,,,,,
Barking,PA,Pennsylvania,WESTMORELAND,New Kensington,,,,,,,
New Kensingtn,PA,Pennsylvania,WESTMORELAND,New Kensington,,,,,,,
New Kensington,PA,Pennsylvania,WESTMORELAND,New Kensington,,,,,,,
Arnold,PA,Pennsylvania,WESTMORELAND,New Kensington,,,,,,,
Parnassus,PA,Pennsylvania,WESTMORELAND,New Kensington,,,,,,,
Lower Burrell,PA,Pennsylvania,WESTMORELAND,New Kensington,,,,,,,
Alcoa Center,PA,Pennsylvania,WESTMORELAND,New Kensington,,,,,,,
Oakdale,PA,Pennsylvania,ALLEGHENY,Oakdale,,,,,,,
Noblestown,PA,Pennsylvania,ALLEGHENY,Oakdale,,,,,,,
Pricedale,PA,Pennsylvania,WESTMORELAND,Pricedale,,,,,,,
Rochester,PA,Pennsylvania,BEAVER,Rochester,,,,,,,
Rural Ridge,PA,Pennsylvania,ALLEGHENY,Rural Ridge,,,,,,,
Russellton,PA,Pennsylvania,ALLEGHENY,Russellton,,,,,,,
Shippingport,PA,Pennsylvania,BEAVER,Shippingport,,,,,,,
Slovan,PA,Pennsylvania,WASHINGTON,Slovan,,,,,,,
South Heights,PA,Pennsylvania,BEAVER,South Heights,,,,,,,
Sturgeon,PA,Pennsylvania,ALLEGHENY,Sturgeon,,,,,,,
Sutersville,PA,Pennsylvania,WESTMORELAND,Sutersville,,,,,,,
Tarentum,PA,Pennsylvania,ALLEGHENY,Tarentum,,,,,,,
Trafford,PA,Pennsylvania,WESTMORELAND,Trafford,,,,,,,
Warrendale,PA,Pennsylvania,ALLEGHENY,Warrendale,,,,,,,
Webster,PA,Pennsylvania,WESTMORELAND,Webster,,,,,,,
W Elizabeth,PA,Pennsylvania,ALLEGHENY,West Elizabeth,,,,,,,
West Elizabeth,PA,Pennsylvania,ALLEGHENY,West Elizabeth,,,,,,,
West Newton,PA,Pennsylvania,WESTMORELAND,West Newton,,,,,,,
Wexford,PA,Pennsylvania,ALLEGHENY,Wexford,,,,,,,
Wildwood,PA,Pennsylvania,ALLEGHENY,Wildwood,,,,,,,
Bulk Mail Ctr,PA,Pennsylvania,ALLEGHENY,Warrendale,,,,,,,
Soc Auto Engineers,PA,Pennsylvania,ALLEGHENY,Warrendale,,,,,,,
Allison Park,PA,Pennsylvania,ALLEGHENY,Allison Park,,,,,,,
Bethel Park,PA,Pennsylvania,ALLEGHENY,Bethel Park,,,,,,,
Rankin,PA,Pennsylvania,ALLEGHENY,Braddock,,,,,,,
Braddock,PA,Pennsylvania,ALLEGHENY,Braddock,,,,,,,
Rennerdale,PA,Pennsylvania,ALLEGHENY,Carnegie,,,,,,,
Heidelberg,PA,Pennsylvania,ALLEGHENY,Carnegie,,,,,,,
Collier Twp,PA,Pennsylvania,ALLEGHENY,Carnegie,,,,,,,
Carnegie,PA,Pennsylvania,ALLEGHENY,Carnegie,,,,,,,
Collier Township,PA,Pennsylvania,ALLEGHENY,Carnegie,,,,,,,
Coraopolis,PA,Pennsylvania,ALLEGHENY,Coraopolis,,,,,,,
Moon Township,PA,Pennsylvania,ALLEGHENY,Coraopolis,,,,,,,
Carpolis,PA,Pennsylvania,ALLEGHENY,Coraopolis,,,,,,,
Coropolis,PA,Pennsylvania,ALLEGHENY,Coraopolis,,,,,,,
Moon Twp,PA,Pennsylvania,ALLEGHENY,Coraopolis,,,,,,,
Duquesne,PA,Pennsylvania,ALLEGHENY,Duquesne,,,,,,,
East Pgh,PA,Pennsylvania,ALLEGHENY,East Pittsburgh,,,,,,,
E Pittsburgh,PA,Pennsylvania,ALLEGHENY,East Pittsburgh,,,,,,,
East Pittsburgh,PA,Pennsylvania,ALLEGHENY,East Pittsburgh,,,,,,,
Glenshaw,PA,Pennsylvania,ALLEGHENY,Glenshaw,,,,,,,
Homestead,PA,Pennsylvania,ALLEGHENY,Homestead,,,,,,,
W Homestead,PA,Pennsylvania,ALLEGHENY,Homestead,,,,,,,
Munhall,PA,Pennsylvania,ALLEGHENY,Homestead,,,,,,,
West Homestead,PA,Pennsylvania,ALLEGHENY,Homestead,,,,,,,
West Mifflin,PA,Pennsylvania,ALLEGHENY,West Mifflin,,,,,,,
W Mifflin/pleasant Hills,PA,Pennsylvania,ALLEGHENY,West Mifflin,,,,,,,
Pittsburgh,PA,Pennsylvania,ALLEGHENY,West Mifflin,,,,,,,
West Mifflin Century Mall,PA,Pennsylvania,ALLEGHENY,West Mifflin,,,,,,,
Imperial,PA,Pennsylvania,ALLEGHENY,Imperial,,,,,,,
Ingomar,PA,Pennsylvania,ALLEGHENY,Ingomar,,,,,,,
Library,PA,Pennsylvania,ALLEGHENY,South Park,,,,,,,
South Park,PA,Pennsylvania,ALLEGHENY,South Park,,,,,,,
Mckeesport,PA,Pennsylvania,ALLEGHENY,Mckeesport,,,,,,,
White Oak,PA,Pennsylvania,ALLEGHENY,Mckeesport,,,,,,,
Port Vue,PA,Pennsylvania,ALLEGHENY,Mckeesport,,,,,,,
Boston,PA,Pennsylvania,ALLEGHENY,Mckeesport,,,,,,,
Mckees Rocks,PA,Pennsylvania,ALLEGHENY,Mc Kees Rocks,,,,,,,
Mc Kees Rocks,PA,Pennsylvania,ALLEGHENY,Mc Kees Rocks,,,,,,,
N Versailles,PA,Pennsylvania,ALLEGHENY,North Versailles,,,,,,,
North Versailles,PA,Pennsylvania,ALLEGHENY,North Versailles,,,,,,,
Oakmont,PA,Pennsylvania,ALLEGHENY,Oakmont,,,,,,,
Pitcairn,PA,Pennsylvania,ALLEGHENY,Pitcairn,,,,,,,
Monroeville,PA,Pennsylvania,ALLEGHENY,Pitcairn,,,,,,,
Presto,PA,Pennsylvania,ALLEGHENY,Presto,,,,,,,
Edgeworth,PA,Pennsylvania,ALLEGHENY,Sewickley,,,,,,,
Sewickley,PA,Pennsylvania,ALLEGHENY,Sewickley,,,,,,,
Springdale,PA,Pennsylvania,ALLEGHENY,Springdale,,,,,,,
Turtle Creek,PA,Pennsylvania,ALLEGHENY,Turtle Creek,,,,,,,
Monroeville,PA,Pennsylvania,ALLEGHENY,Monroeville,,,,,,,
Verona,PA,Pennsylvania,ALLEGHENY,Verona,,,,,,,
Wilmerding,PA,Pennsylvania,ALLEGHENY,Wilmerding,,,,,,,
Wall,PA,Pennsylvania,ALLEGHENY,Wilmerding,,,,,,,
Pitts,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Pgh,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Pittsburgh,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Arsenal,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Pitt,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Ben Avon Heights,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Avalon,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Emsworth,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Bellevue,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Ben Avon,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Bellvue,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Carson,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Corliss,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Ingram,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Crafton,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
East Liberty,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Hazelwood,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Homewood,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Millvale,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Mount Oliver,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Mt Oliver,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Mount Washington,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Mt Washington,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Allegheny,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Oakland,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Observatory,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Aspinwall,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Sharpsburg,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
South Hills,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Dormont,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Beechview,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Squirrel Hill,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Swissvale,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Rook,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Wabash,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Wilkinsburg,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Braddock Hills,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Churchill,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Forest Hills,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Etna,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Bloomfield,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Brookline,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Brentwood,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Mt Lebanon,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
West View,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Pgh Int Arprt,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Shadyside,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Kilbuck,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Bra# 52,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Castl Shannon,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Baldwin,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Castle Shannon,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Baldwin Township,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Castle Shann,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Penn Hills,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Universal,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Pleasant Hills,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
West Mifflin,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Pleasant Hls,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Mc Knight,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Mcknight,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Blawnox,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Fox Chapel,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Plum,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Veterans Hospital,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Uppr St Clair,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
South Hills Village,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Upper Saint Clair,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Upper St Clair,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Greentree,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Cedarhurst,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Montour,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Mellon Bank,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Bell Telephone Co,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Univ Of Pittsburgh,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Pnc Bank,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Duguesne,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
National City Bank,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Columbia Gas Of Pa,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Eastern Area,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Duquesne Light Co,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Macys Dept Store,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Duquesne Univ,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
At & T,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Carnegie Mellon Univ,PA,Pennsylvania,ALLEGHENY,Pittsburgh,,,,,,,
Washington,PA,Pennsylvania,WASHINGTON,Washington,,,,,,,
Wash,PA,Pennsylvania,WASHINGTON,Washington,,,,,,,
Aleppo,PA,Pennsylvania,GREENE,Aleppo,,,,,,,
Amity,PA,Pennsylvania,WASHINGTON,Amity,,,,,,,
Rea,PA,Pennsylvania,WASHINGTON,Avella,,,,,,,
Avella,PA,Pennsylvania,WASHINGTON,Avella,,,,,,,
Beallsville,PA,Pennsylvania,WASHINGTON,Beallsville,,,,,,,
Bentleyville,PA,Pennsylvania,WASHINGTON,Bentleyville,,,,,,,
Bobtown,PA,Pennsylvania,GREENE,Bobtown,,,,,,,
Brave,PA,Pennsylvania,GREENE,Brave,,,,,,,
Mc Murray,PA,Pennsylvania,WASHINGTON,Canonsburg,,,,,,,
Canonsburg,PA,Pennsylvania,WASHINGTON,Canonsburg,,,,,,,
Mcmurray,PA,Pennsylvania,WASHINGTON,Canonsburg,,,,,,,
Carmichaels,PA,Pennsylvania,GREENE,Carmichaels,,,,,,,
Fairdale,PA,Pennsylvania,GREENE,Carmichaels,,,,,,,
Cecil,PA,Pennsylvania,WASHINGTON,Cecil,,,,,,,
Clarksville,PA,Pennsylvania,GREENE,Clarksville,,,,,,,
Claysville,PA,Pennsylvania,WASHINGTON,Claysville,,,,,,,
Cokeburg,PA,Pennsylvania,WASHINGTON,Cokeburg,,,,,,,
Crucible,PA,Pennsylvania,GREENE,Crucible,,,,,,,
Dilliner,PA,Pennsylvania,GREENE,Dilliner,,,,,,,
Prosperity,PA,Pennsylvania,WASHINGTON,Prosperity,,,,,,,
Eighty Four,PA,Pennsylvania,WASHINGTON,Eighty Four,,,,,,,
Ellsworth,PA,Pennsylvania,WASHINGTON,Ellsworth,,,,,,,
Finleyville,PA,Pennsylvania,WASHINGTON,Finleyville,,,,,,,
Fredericktown,PA,Pennsylvania,WASHINGTON,Fredericktown,,,,,,,
Garards Fort,PA,Pennsylvania,GREENE,Garards Fort,,,,,,,
Gastonville,PA,Pennsylvania,WASHINGTON,Gastonville,,,,,,,
Graysville,PA,Pennsylvania,GREENE,Graysville,,,,,,,
Greensboro,PA,Pennsylvania,GREENE,Greensboro,,,,,,,
Hendersonville,PA,Pennsylvania,WASHINGTON,Hendersonville,,,,,,,
Hendersonvlle,PA,Pennsylvania,WASHINGTON,Hendersonville,,,,,,,
Hickory,PA,Pennsylvania,WASHINGTON,Hickory,,,,,,,
Holbrook,PA,Pennsylvania,GREENE,Holbrook,,,,,,,
Houston,PA,Pennsylvania,WASHINGTON,Houston,,,,,,,
Jefferson,PA,Pennsylvania,GREENE,Jefferson,,,,,,,
Marianna,PA,Pennsylvania,WASHINGTON,Marianna,,,,,,,
Mather,PA,Pennsylvania,GREENE,Mather,,,,,,,
Meadow Lands,PA,Pennsylvania,WASHINGTON,Meadow Lands,,,,,,,
Millsboro,PA,Pennsylvania,WASHINGTON,Millsboro,,,,,,,
Mount Morris,PA,Pennsylvania,GREENE,Mount Morris,,,,,,,
Davistown,PA,Pennsylvania,GREENE,Mount Morris,,,,,,,
Mt Morris,PA,Pennsylvania,GREENE,Mount Morris,,,,,,,
Muse,PA,Pennsylvania,WASHINGTON,Muse,,,,,,,
Nemacolin,PA,Pennsylvania,GREENE,Nemacolin,,,,,,,
Pine Bank,PA,Pennsylvania,GREENE,New Freeport,,,,,,,
New Freeport,PA,Pennsylvania,GREENE,New Freeport,,,,,,,
Nineveh,PA,Pennsylvania,GREENE,Nineveh,,,,,,,
Rices Landing,PA,Pennsylvania,GREENE,Rices Landing,,,,,,,
Richeyville,PA,Pennsylvania,WASHINGTON,Richeyville,,,,,,,
Rogersville,PA,Pennsylvania,GREENE,Rogersville,,,,,,,
Scenery Hill,PA,Pennsylvania,WASHINGTON,Scenery Hill,,,,,,,
Southview,PA,Pennsylvania,WASHINGTON,Southview,,,,,,,
Spraggs,PA,Pennsylvania,GREENE,Spraggs,,,,,,,
Strabane,PA,Pennsylvania,WASHINGTON,Strabane,,,,,,,
Sycamore,PA,Pennsylvania,GREENE,Sycamore,,,,,,,
Taylorstown,PA,Pennsylvania,WASHINGTON,Taylorstown,,,,,,,
Van Voorhis,PA,Pennsylvania,WASHINGTON,Van Voorhis,,,,,,,
Venetia,PA,Pennsylvania,WASHINGTON,Venetia,,,,,,,
Vestaburg,PA,Pennsylvania,WASHINGTON,Vestaburg,,,,,,,
Waynesburg,PA,Pennsylvania,GREENE,Waynesburg,,,,,,,
West Alexander,PA,Pennsylvania,WASHINGTON,West Alexander,,,,,,,
W Alexander,PA,Pennsylvania,WASHINGTON,West Alexander,,,,,,,
West Finley,PA,Pennsylvania,WASHINGTON,West Finley,,,,,,,
Westland,PA,Pennsylvania,WASHINGTON,Westland,,,,,,,
W Middletown,PA,Pennsylvania,WASHINGTON,West Middletown,,,,,,,
West Middletown,PA,Pennsylvania,WASHINGTON,West Middletown,,,,,,,
Wind Ridge,PA,Pennsylvania,GREENE,Wind Ridge,,,,,,,
Oliphant Furnace,PA,Pennsylvania,FAYETTE,Uniontown,,,,,,,
Uniontown,PA,Pennsylvania,FAYETTE,Uniontown,,,,,,,
Adah,PA,Pennsylvania,FAYETTE,Adah,,,,,,,
Addison,PA,Pennsylvania,SOMERSET,Addison,,,,,,,
Allenport,PA,Pennsylvania,WASHINGTON,Allenport,,,,,,,
Allison,PA,Pennsylvania,FAYETTE,Allison,,,,,,,
Brier Hill,PA,Pennsylvania,FAYETTE,Brier Hill,,,,,,,
Brownfield,PA,Pennsylvania,FAYETTE,Brownfield,,,,,,,
West Brownsville,PA,Pennsylvania,FAYETTE,Brownsville,,,,,,,
Brownsville,PA,Pennsylvania,FAYETTE,Brownsville,,,,,,,
California,PA,Pennsylvania,WASHINGTON,California,,,,,,,
Cardale,PA,Pennsylvania,FAYETTE,Cardale,,,,,,,
Chalk Hill,PA,Pennsylvania,FAYETTE,Chalk Hill,,,,,,,
Chestnut Rdg,PA,Pennsylvania,FAYETTE,Chestnut Ridge,,,,,,,
Chestnut Ridge,PA,Pennsylvania,FAYETTE,Chestnut Ridge,,,,,,,
Coal Center,PA,Pennsylvania,WASHINGTON,Coal Center,,,,,,,
Confluence,PA,Pennsylvania,SOMERSET,Confluence,,,,,,,
Listonburg,PA,Pennsylvania,SOMERSET,Confluence,,,,,,,
Ursina,PA,Pennsylvania,SOMERSET,Confluence,,,,,,,
Greene Junction,PA,Pennsylvania,FAYETTE,Connellsville,,,,,,,
Connellsville,PA,Pennsylvania,FAYETTE,Connellsville,,,,,,,
S Connelsvl,PA,Pennsylvania,FAYETTE,Connellsville,,,,,,,
S Connellsvl,PA,Pennsylvania,FAYETTE,Connellsville,,,,,,,
Daisytown,PA,Pennsylvania,WASHINGTON,Daisytown,,,,,,,
Dawson,PA,Pennsylvania,FAYETTE,Dawson,,,,,,,
Denbo,PA,Pennsylvania,WASHINGTON,Denbo,,,,,,,
Dickerson Run,PA,Pennsylvania,FAYETTE,Dickerson Run,,,,,,,
Dunbar,PA,Pennsylvania,FAYETTE,Dunbar,,,,,,,
Dunlevy,PA,Pennsylvania,WASHINGTON,Dunlevy,,,,,,,
East Millsboro,PA,Pennsylvania,FAYETTE,East Millsboro,,,,,,,
E Millsboro,PA,Pennsylvania,FAYETTE,East Millsboro,,,,,,,
Elco,PA,Pennsylvania,WASHINGTON,Elco,,,,,,,
Fairbank,PA,Pennsylvania,FAYETTE,Fairbank,,,,,,,
Fairchance,PA,Pennsylvania,FAYETTE,Fairchance,,,,,,,
